iter	Logloss
0	0.6779192277
1	0.6609696832
2	0.6471111501
3	0.6307657256
4	0.6177027462
5	0.602111467
6	0.5870165643
7	0.5748607839
8	0.5635541377
9	0.5504316374
10	0.5369727448
11	0.5261383639
12	0.5139069885
13	0.5037292597
14	0.4927033868
15	0.4835807859
16	0.4748546804
17	0.46444277
18	0.4543103517
19	0.446474614
20	0.4366342967
21	0.4275824277
22	0.4188718723
23	0.4118035877
24	0.4036434552
25	0.3956300575
26	0.3895949735
27	0.3833914604
28	0.3759775817
29	0.3703704718
30	0.3633877994
31	0.3583758988
32	0.3530804001
33	0.3464524364
34	0.3401897227
35	0.3345113274
36	0.3301562826
37	0.3256586089
38	0.3203925213
39	0.3150731443
40	0.3102497363
41	0.3064710894
42	0.30272197
43	0.2990549684
44	0.2944218293
45	0.2909364773
46	0.2875258759
47	0.2832953184
48	0.2801221891
49	0.277059657
50	0.2740701282
51	0.2710582937
52	0.2682711769
53	0.26515355
54	0.2625859967
55	0.2592461564
56	0.255970438
57	0.2536973735
58	0.2514306862
59	0.2490826381
60	0.2466737005
61	0.2435213628
62	0.2407570176
63	0.2387870177
64	0.2361023881
65	0.2335264774
66	0.2317588457
67	0.2300162861
68	0.2276045821
69	0.2252493997
70	0.2230057753
71	0.2207834084
72	0.219231176
73	0.2178082939
74	0.2162263594
75	0.214798789
76	0.2128786859
77	0.2115949238
78	0.2102900789
79	0.2088969282
80	0.2072837917
81	0.2055314188
82	0.2038162756
83	0.2021362363
84	0.2009423088
85	0.1993345013
86	0.197860281
87	0.1968180824
88	0.1953430758
89	0.1940205407
90	0.1931710862
91	0.1922894835
92	0.1913464233
93	0.1901145527
94	0.1893149223
95	0.1885707215
96	0.1875798029
97	0.1863744022
98	0.1854049158
99	0.1846064793
100	0.1834270536
101	0.1821652769
102	0.18114486
103	0.1801166098
104	0.1791713802
105	0.1782793817
106	0.1774181774
107	0.1764962873
108	0.1759637148
109	0.1752116516
110	0.1743107133
111	0.1734521152
112	0.1728536446
113	0.17222652
114	0.1716204636
115	0.1710577521
116	0.1703825798
117	0.1696503181
118	0.1688457809
119	0.1681484339
120	0.167466666
121	0.1671003385
122	0.1664808142
123	0.1659315852
124	0.1655715622
125	0.1648803449
126	0.1641255735
127	0.1635394351
128	0.1631376834
129	0.1625834749
130	0.1622595896
131	0.1618457678
132	0.1613047942
133	0.1609593603
134	0.1606932778
135	0.1600679587
136	0.1595273491
137	0.1590645623
138	0.1587620073
139	0.1585917873
140	0.1582075949
141	0.157775908
142	0.1574267904
143	0.1570071592
144	0.1565815147
145	0.1560985332
146	0.1555808264
147	0.1551685188
148	0.1548734767
149	0.1546061858
150	0.1543686117
151	0.1540032598
152	0.1537517518
153	0.1535265682
154	0.1531950827
155	0.1528191894
156	0.1524228103
157	0.1522469266
158	0.1520001797
159	0.1517630133
160	0.1513406157
161	0.1509869262
162	0.1508002536
163	0.1505306477
164	0.1502349504
165	0.1499864564
166	0.1497548809
167	0.1495866994
168	0.1491554493
169	0.1489734504
170	0.1488960353
171	0.1484980401
172	0.148201775
173	0.1480495802
174	0.1477800908
175	0.1474567006
176	0.1472702026
177	0.1469090585
178	0.1467505885
179	0.1466093282
180	0.1463649837
181	0.1461309477
182	0.1460278926
183	0.1457850187
184	0.1456920536
185	0.1455547973
186	0.1454525576
187	0.1451069635
188	0.1448823769
189	0.1446476565
190	0.1444839012
191	0.1442533886
192	0.1441035671
193	0.1438300737
194	0.1435270091
195	0.1434082876
196	0.1431710338
197	0.1428667898
198	0.1427271894
199	0.1424670329
200	0.1422228631
201	0.1420058622
202	0.1418962697
203	0.141603863
204	0.1415094856
205	0.1413130433
206	0.1410980807
207	0.140980058
208	0.1408100274
209	0.1406353375
210	0.1404168806
211	0.1402244859
212	0.1401286962
213	0.1399705028
214	0.1397753854
215	0.1394494326
216	0.1392828818
217	0.1391648737
218	0.1389647913
219	0.1388237058
220	0.1385113374
221	0.1383170645
222	0.138189374
223	0.1380955063
224	0.137914643
225	0.1378309235
226	0.137583274
227	0.1374189653
228	0.1372641498
229	0.1371405216
230	0.1369833036
231	0.1369436715
232	0.1368174953
233	0.1366963569
234	0.1365085631
235	0.1364262413
236	0.136292858
237	0.136208061
238	0.1360880582
239	0.1360473924
240	0.1359510495
241	0.1358583319
242	0.1355727683
243	0.1354802547
244	0.1354025484
245	0.1352627587
246	0.1351552046
247	0.1350827981
248	0.1348537998
249	0.134809858
250	0.1346544309
251	0.1345122534
252	0.1343609468
253	0.1342210114
254	0.1340615367
255	0.1338906179
256	0.1338342419
257	0.1336866772
258	0.1335835348
259	0.1333760123
260	0.133216887
261	0.1330658716
262	0.1328606205
263	0.132751756
264	0.1326253614
265	0.1325562892
266	0.1324607325
267	0.1323711599
268	0.1323134881
269	0.1321068975
270	0.1318484736
271	0.1317106058
272	0.131621965
273	0.1314658391
274	0.1313207495
275	0.1312642862
276	0.1311708115
277	0.1311012297
278	0.1309704671
279	0.1308449316
280	0.130765449
281	0.1306097307
282	0.1304629668
283	0.1303889151
284	0.1302654761
285	0.1301309717
286	0.1300776824
287	0.1298640885
288	0.1298096926
289	0.129676484
290	0.1294902481
291	0.1292803815
292	0.1291089822
293	0.1290662343
294	0.1289117828
295	0.1287960606
296	0.1286539413
297	0.1285936923
298	0.1284424731
299	0.1284089416
300	0.1282983736
301	0.1281512603
302	0.1280463706
303	0.1279956293
304	0.1279253486
305	0.1277974107
306	0.1277302458
307	0.1276852266
308	0.1276222404
309	0.1274704533
310	0.1274184016
311	0.1273984254
312	0.1272249877
313	0.1271755568
314	0.1271178267
315	0.1270399603
316	0.1269574493
317	0.126857248
318	0.1268025173
319	0.1267033642
320	0.1266923278
321	0.1266404654
322	0.1265790517
323	0.1265121635
324	0.1263286358
325	0.1262303418
326	0.126074376
327	0.1259849199
328	0.1258777444
329	0.1257781982
330	0.1257337759
331	0.1256698434
332	0.1255926467
333	0.1255033653
334	0.1254612581
335	0.125318964
336	0.1251303695
337	0.1250645878
338	0.1250128855
339	0.1249335631
340	0.1247271763
341	0.1246398751
342	0.124602922
343	0.1244227286
344	0.1242064847
345	0.1240458015
346	0.1239758557
347	0.1239108603
348	0.123849563
349	0.12368722
350	0.123609572
351	0.1235182668
352	0.1234422931
353	0.123397536
354	0.1233362533
355	0.1232030446
356	0.1231764291
357	0.1230670259
358	0.1229923772
359	0.122892802
360	0.122841886
361	0.1227472902
362	0.122718549
363	0.1225521874
364	0.1224531945
365	0.1223537358
366	0.12214467
367	0.1220985515
368	0.1220663158
369	0.1220050622
370	0.1219519914
371	0.1219061568
372	0.1217567356
373	0.1216193847
374	0.1215330808
375	0.1214587889
376	0.1213644479
377	0.1213160289
378	0.1211878362
379	0.121056928
380	0.1210468816
381	0.1209430112
382	0.1208246537
383	0.1207806099
384	0.1207148865
385	0.1206727428
386	0.1206205528
387	0.120539192
388	0.1204456446
389	0.1203467537
390	0.1202873638
391	0.1201621412
392	0.1200999777
393	0.120057288
394	0.1199934646
395	0.1199577055
396	0.1199156346
397	0.1198753765
398	0.1197714624
399	0.1197113736
400	0.1195839598
401	0.119465726
402	0.1193914049
403	0.1193478417
404	0.1192281301
405	0.1191580896
406	0.1190429862
407	0.118992143
408	0.1189659788
409	0.1189104255
410	0.1188127794
411	0.1187413995
412	0.1186523001
413	0.1185661563
414	0.1185314018
415	0.1184972443
416	0.118400712
417	0.1183308245
418	0.1182158448
419	0.118084114
420	0.1180071722
421	0.1179319629
422	0.1178728934
423	0.1177798264
424	0.1177443439
425	0.1176493987
426	0.1175332251
427	0.1174357028
428	0.1173919285
429	0.1173103493
430	0.1171459606
431	0.1170670677
432	0.1169729524
433	0.1168690092
434	0.1168315247
435	0.1167655828
436	0.1167087409
437	0.1165949625
438	0.1165308261
439	0.1164714871
440	0.1164066591
441	0.1162702619
442	0.1161664715
443	0.1160540326
444	0.1159855428
445	0.1159039927
446	0.1158649867
447	0.1158358669
448	0.1157800005
449	0.1157240249
450	0.1156476873
451	0.1155348625
452	0.1154308465
453	0.1153494711
454	0.1152855021
455	0.1152302109
456	0.1152028528
457	0.1151174007
458	0.1150055732
459	0.1149365083
460	0.1148777736
461	0.1147614836
462	0.1146898706
463	0.1146458487
464	0.1146042511
465	0.114457014
466	0.1144355017
467	0.1143042877
468	0.114241236
469	0.1142070566
470	0.1141461816
471	0.1140825767
472	0.1140097625
473	0.1139880537
474	0.1138588854
